# Big
8.8,0
8.8,1
8.8,2
8.8,3

# Double
9.4,0
9.4,3
9.6,1
9.6,2

# Double
10.2,1
10.2,2
10.4,0
10.4,3

# Triple
10.9,0
10.9,3
11.3,1
11.3,2
11.7,0
11.7,3

# Big
12.2,0
12.2,1
12.2,2
12.2,3

# Double
12.8,1
12.8,2
13.0,0
13.0,3

# Double
13.6,0
13.6,3
13.8,1
13.8,2

# Triple
14.3,1
14.3,2
14.7,0
14.7,3
15.1,1
15.1,2

# Big
15.6,0
15.6,1
15.6,2
15.6,3

# Double
16.2,0
16.2,3
16.4,1
16.4,2

# Double
17.1,1
17.1,2
17.3,0
17.3,3

# Triple
17.7,0
17.7,3
18.1,1
18.1,2
18.5,0
18.5,3

# Big
19.1,0
19.1,1
19.1,2
19.1,3

# Double
19.7,1
19.7,2
19.9,0
19.9,3

# Double
20.5,0
20.5,3
20.7,1
20.7,2

# Triple
21.2,2
21.2,1
21.6,0
21.6,3
22.0,1
22.0,2

# Big
22.5,0
22.5,1
22.5,2
22.5,3
